symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,order_last_filled_quantity,order_filled_accumulated_quantity,order_trade_time,usd_size
TRUMP,SELL,LIMIT,IOC,3.62,15.057317,15.169000,FILLED,3.62,3.62,1739159730976,54.50748754
SSV,SELL,LIMIT,IOC,10.01,11.443200,11.532826,FILLED,1.27,10.01,1739159731155,114.546432
BTC,SELL,LIMIT,IOC,0.025,96264.71,96610.00,FILLED,0.025,0.025,1739159731159,2406.6177500000003
RENDER,SELL,LIMIT,IOC,67.2,4.2128357,4.2500000,FILLED,59.1,67.2,1739159731536,283.10255904
XRP,SELL,LIMIT,IOC,360.3,2.3659,2.3760,FILLED,360.3,360.3,1739159731711,852.43377
ADA,SELL,LIMIT,IOC,1933,0.68168,0.68460,FILLED,223,1933,1739159731711,1317.68744
DOGE,SELL,LIMIT,IOC,1271,0.246138,0.246510,FILLED,1271,1271,1739159731858,312.84139799999997
FIL,SELL,LIMIT,IOC,915.4,3.281,3.294,FILLED,777.9,915.4,1739159731870,3003.4274
RDNT,SELL,LIMIT,IOC,2226,0.0303775,0.0306600,FILLED,644,2226,1739159731921,67.620315
SOL,SELL,LIMIT,IOC,1,201.0320,202.0700,FILLED,1,1,1739159732307,201.032
BCH,SELL,LIMIT,IOC,0.500,322.06,323.66,FILLED,0.500,0.500,1739159732307,161.03
ETC,SELL,LIMIT,IOC,5.00,20.071,20.165,FILLED,5.00,5.00,1739159732307,100.355
1000PEPE,SELL,LIMIT,IOC,5000,0.0094076,0.0094684,FILLED,5000,5000,1739159732307,47.038000000000004
1000SHIB,SELL,LIMIT,IOC,5000,0.015587,0.015688,FILLED,5000,5000,1739159732307,77.935
LINK,SELL,LIMIT,IOC,5.00,18.195,18.287,FILLED,5.00,5.00,1739159732307,90.975
BTC,SELL,LIMIT,IOC,0.010,96252.88,96618.00,FILLED,0.010,0.010,1739159732307,962.5288
ETH,SELL,LIMIT,IOC,0.150,2611.92,2622.15,FILLED,0.150,0.150,1739159732307,391.788
TRUMP,SELL,LIMIT,IOC,58.60,15.029601,15.188818,FILLED,9.44,58.60,1739159732335,880.7346186
SUI,SELL,LIMIT,IOC,214.5,3.040875,3.071800,FILLED,214.5,214.5,1739159732366,652.2676875000001
BERA,SELL,LIMIT,IOC,61.4,4.927880,4.971000,FILLED,61.4,61.4,1739159732696,302.571832
WLD,SELL,LIMIT,IOC,281,1.2113701,1.2188000,FILLED,84,281,1739159732705,340.39499809999995
VINE,SELL,LIMIT,IOC,2455,0.0968812,0.0988700,FILLED,2375,2455,1739159732729,237.843346
RSR,SELL,LIMIT,IOC,1629,0.008495,0.008574,FILLED,1629,1629,1739159732968,13.838355000000002
XRP,SELL,LIMIT,IOC,62.3,2.3641,2.3747,FILLED,11.8,62.3,1739159738199,147.28343
SUI,SELL,LIMIT,IOC,269.3,3.039735,3.067300,FILLED,269.3,269.3,1739159740232,818.6006355
BTC,SELL,LIMIT,IOC,0.016,96239.20,96600.00,FILLED,0.016,0.016,1739159740554,1539.8272
1000PEPE,SELL,LIMIT,IOC,204992,0.0094004,0.0094492,FILLED,12044,204992,1739159741134,1927.0067967999998
DOGE,SELL,LIMIT,IOC,9335,0.245828,0.246760,FILLED,7544,9335,1739159741218,2294.80438
SOL,SELL,LIMIT,IOC,2,200.8424,201.7100,FILLED,2,2,1739159741264,401.6848
ENA,SELL,LIMIT,IOC,57720,0.4839409,0.4884194,FILLED,207,57720,1739159741439,27933.068748
1000PEPE,SELL,LIMIT,IOC,2066797,0.0093895,0.0094412,FILLED,54662,2066797,1739159742673,19406.1904315
XRP,SELL,LIMIT,IOC,117.3,2.3621,2.3725,FILLED,112.8,117.3,1739159743064,277.07433
DOT,SELL,LIMIT,IOC,2.0,4.736,4.761,FILLED,2.0,2.0,1739159743391,9.472
GALA,SELL,LIMIT,IOC,90857,0.02172,0.02182,FILLED,90857,90857,1739159743432,1973.4140399999999
ADA,SELL,LIMIT,IOC,5219,0.68091,0.68430,FILLED,3669,5219,1739159743482,3553.6692900000003
HBAR,SELL,LIMIT,IOC,3439,0.22857,0.23086,FILLED,1368,3439,1739159743489,786.05223
WLD,SELL,LIMIT,IOC,276,1.2100698,1.2177000,FILLED,276,276,1739159744368,333.9792648
TST,BUY,LIMIT,IOC,6475,0.1949634,0.1931000,FILLED,6475,6475,1739159746133,1262.388015
INJ,SELL,LIMIT,IOC,3.4,13.807266,13.944000,FILLED,3.4,3.4,1739159751099,46.9447044
